"precio","metros_cuadrados_construidos","habitaciones","banos","planta","latitud","longitud","ascensor","obra_nueva","piscina","terraza","parking","parking_incluido_en_el_precio","aire_acondicionado","trastero","jardin","planta_was_nan"
1590,54,2,1,0,40.4326467,-3.6742134,1,0,0,0,0,0,0,0,0,0
2400,60,2,1,5,40.4282727,-3.6868505,1,0,0,0,0,0,1,0,0,0
1000,96,2,1,3,40.6042206,-4.1246864,1,0,1,1,1,1,1,1,1,0
2525,71,2,1,0,40.4509973,-3.6680673,1,0,0,0,0,0,1,0,0,0
1100,70,2,1,0,40.3915727,-3.7576905,1,0,0,1,0,0,1,0,0,0
995,50,2,1,0,40.474699,-3.7130099,1,0,0,0,0,0,1,0,0,0
1800,112,2,1,4,40.4635002,-3.6698344,1,0,0,0,0,0,1,1,1,0
2350,110,2,1,18,40.4380995,-3.7157479,1,0,1,1,1,0,1,0,0,0
2300,95,2,1,0,40.420722,-3.667781,0,0,1,0,1,1,1,0,1,0
1690,100,2,1,0,40.4089986,-3.7011911,0,0,0,1,0,0,1,0,0,0
1900,70,2,1,0,40.4657848,-3.69745,1,0,0,1,0,0,1,0,0,0
1100,60,2,1,0,40.574992,-4.0058967,1,0,0,0,0,0,1,0,0,0
2500,87,2,1,7,40.4587147,-3.6944652,1,0,1,1,1,1,1,0,0,0
950,102,2,1,3,40.0323251,-3.6020063,1,0,0,0,0,0,0,0,0,0
1500,80,2,1,6,40.3553168,-3.5132378,1,1,1,1,1,1,1,1,0,0
1400,65,2,1,0,40.4690593,-3.691138,0,0,0,0,0,0,0,0,0,0
1500,66,2,1,0,40.4505758,-3.6978233,0,0,0,0,0,0,1,0,0,0
2300,98,2,1,5,40.4213153,-3.6971419,1,0,0,0,0,0,1,0,0,0
1650,50,2,1,0,40.4260902,-3.7141583,1,0,0,0,0,0,1,0,0,0
1500,55,2,1,0,40.4726536,-3.8712771,1,0,0,1,0,0,0,1,0,0
2200,67,2,1,0,40.429022,-3.7042787,1,0,0,1,0,0,1,0,0,0
2700,93,2,1,6,40.4294318,-3.7106082,1,0,0,1,0,0,1,0,0,0
1850,48,2,1,0,40.4097291,-3.69416,0,0,0,0,0,0,1,0,0,0
